時間,じかん,time
伝票,でんぴょう,slip
取り消す,とりけす,to cancel
キャンセルする,きゃんせるする,to cancel
皿を下げる,さらをさげる,to take one's plate away
皿,さら,plate
下げる,さげる,"to take away, to dismiss"
サービスする,さーびすする,to give free ~
サービスがいい,さーびすがいい,good service
サービスが悪い,さーびすがわるい,bad service
店,みせ,"restaurant, store"
ファミレス,ふぁみれす,family restaurant
ファミリーレストラン,ふぁみりーれすとらん,family restaurant
ファストフード,ふぁすとふーど,fast food
居酒屋,いざかや,Japanese-style bar
カフェ,かふぇ,caf?
バイキング,ばいきんぐ,buffet
禁煙席,きんえんせき,non-smoking seat
喫煙席,きつえんせき,smoking seat
満席,まんせき,"full, packed"
毎日の生活,まいにちのせいかつ,everyday life
目を覚ます,めをさます,to wake up
目が覚める,めがさめる,to wake up (awaken)
目覚まし時計をセットする,めざましどけいをセットする,to set an alarm clock
目覚まし時計,めざましどけい,alarm clock
歯を磨く,はをみがく,to brush one's teeth
歯,は,"tooth, teeth"
磨く,みがく,"to brush (teeth, shoes, etc.)"
着替える,きがえる,"to get dressed, to change one's clothes"
化粧をする,けしょうをする,to put on make-up
メイク(をする),めいく(をする),to put on make-up
髪をセットする,かみをセットする,to do one's hair
髪,かみ,hair
髭(ひげ)をそる,ひげをする,to shave
服装,ふくそう,clothes
外出する,がいしゅつする,to go out
出勤する,しゅっきんする,to go to work
通勤する,つうきんする,to commute to work
通学する,つうがくする,to commute to school
帰宅する,きたくする,to go home
食器を片付ける,しょっきをかたづける,to put away the dishes
食器,しょっき,dishes
片付ける,かたづける,to keep (clean)
寛ぐ(くつろぐ),くつろぐ,to relax
パジャマ,ぱじゃま,pajamas
家事,かじ,housework
ゴミを捨てる,ごみをすてる,to dispose of garbage
捨てる,すてる,"to throw, dispose"
ゴミを出す,ごみをだす,to put out the garbage
洗濯物を干す,せんたくものをほす,to hang (out) the laundry
洗濯物,せんたくもの,laundry
干す,ほす,to hang
洗濯物を乾く,せんたくものをかわく,laundry dries
乾く,かわく,"dry, dries"
洗濯機,せんたくき,washer (washing machine)
洗剤,せんざい,detergent
石鹸(せっけん),せっけん,soap
汚れを落とす,よごれをおとす,to wash out stains/dirt
汚れが落ちる,よごれがおちる,stains/dirt are washed out
汚れ,よごれ,"stain, dirt"
掃除機をかける,そうじきをかける,to vacuum
掃除機,そうじき,vacuum
