時間,じかん,time
誕生する,たんじょうする,to be born
生む,うむ,to give birth
育つ,そだつ,to grow
成長する,せいちょうする,to grow
育てる,そだてる,to raise
育児,いくじ,child raising
子育て,こそだて,child raising
幼稚園,ようちえん,kindergarten
大人になる,おとなになる,to become an adult
大きくなる,おおきくなる,to grow up
夢,ゆめ,dream
希望,きぼう,hopes
夢を持つ,ゆめをもつ,to have a dream
希望を抱く,きぼうをいだく,to have hope
抱く,いだく,"to embrace, hug"
叶う,かなう,to come true
志望,しぼう,"preferred, one's choice"
入学,にゅうがく,schooling
卒業,そつぎょう,graduation
就職,しゅうしょく,employment
入学する,にゅうがくする,to enroll in a school
卒業する,そつぎょうする,to graduate
入社する,にゅうしゃする,to join a company
就職する,しゅうしょくする,to get a job
退職する,たいしょくする,to leave a job
会社を辞める,かいしゃをやめる,to quit a company
辞める,やめる,"to quit, stop"
恋愛,れんあい,love
出会う,であう,to meet (for first time)
付き合う,つきあう,"to date, to keep company, associate"
デートする,でーとする,"to date, go on a date"
恋人,こいびと,"lover, girlfriend/boyfriend"
失恋する,しつれんする,to be rejected
振る,ふる,"to be rejected, to be stood up"
結婚する,けっこんする,to marry
別れる,わかれる,to split up
死,し,death
生きる,いきる,to live
命,いのち,life
生命,せいめい,"life, existence"
死ぬ,しぬ,to die
亡くなる,なくなる,to die
年を取る,としをとる,to age
老いる,おいる,to grow old
長生きする,ながいきする,to live a long life
寿命,じゅみょう,longevity
葬式,そうしき,funeral
墓,はか,grave
人の呼び方,ひとのよびかた,terms for people
赤ちゃん,あかちゃん,baby
赤ん坊,あかんぼう,baby
幼児,ようじ,infant
少年,しょうねん,"juvenile, boy"
青年,せいねん,youth
大人,おとな,adult
成人,せいじん,adult
未成年,みせいねん,minor
中年,ちゅうねん,middle-aged person
年配,ねんぱい,elderly person
お年寄り,おとしより,elderly person
老人,ろうじん,elderly person
高齢者,こうれいしゃ,elderly person
社会,しゃかい,society
国,くに,nation
政治,せいじん,politics
選挙,せんきょ,elections
投票する,とうひょうする,to vote
代表,だいひょう,representative
候補者,こうほしゃ,candidate
演説する,えんぜつする,to give a speech
首相,しゅしょう,prime minister
政府,せいふ,government
首都,しゅと,capital
全国,ぜんこく,the whole country
地方,ちほう,"provincial area, local"
県,けん,prefecture
市町村,しちょうそん,"cities, towns, and villages"
都会,とかい,big city
田舎,いなか,countryside
都市,とし,city
地域,ちいき,community
郊外,こうがい,suburb
市長,しちょう,mayor
市役所,しやくしょ,city hall
役人,やくにん,civil servant
国民,こくみん,the people (of a nation)
市民,しみん,citizen
住民,じゅうみん,resident
公共(の),こうきょう(の),public
法律を守る,ほうりつをまもる,to obey the law
法を守る,ほうをまもる,to obey the law
守る,まもる,"to obey, protect, abide, keep (promise)"
規則,きそく,rules
ルール,るーる,rules
税金が掛かる,ぜいきんがかかる,to be taxed
消費税,しょうひぜい,consumption tax
権利,けんり,right
義務,ぎむ,duty
社会問題,しゃかいもんだい,Social issues
犯罪を防ぐ,はんざいをふせぐ,to prevent crime
犯罪,はんざい,crime
防ぐ,ふせぐ,"to prevent, protect"
治安がいい,ちあんがいい,safe
治安,ちあん,"public order, security"
苛め(いじめ),いじめ,bullying
自殺,じさつ,suicide
暴力を振るう,ぼうりょくをふるう,to behave violently
暴力,ぼうりょく,"violence, force"
振るう,ふるう,"wield, exert, act"
深刻な事件,しんこくなじけん,serious incident
深刻,しんこく,serious
事件,じけん,"incident, case"
少子化が進む,しょうしかがすすむ,birthrate declines increasingly
少子化,しょうしか,low fertility
進む,すすむ,"proceed, advance"
高齢化,こうれいか,population aging
フリーター,ふりーたー,job-hopping part-timer
公害,こうがい,pollution
騒音,そうおん,noise
排気ガス,はいきがす,exhaust gas
汚染する,おせんする,to pollute
世の中,よのなか,the world
世間,せけん,the world
ビザ,ビザ,visa
外国人登録証,がいこくじんとうろくしょう,alien registration card
身分証明書,みぶんしょうめいしょ,ID card
環境,かんきょう,environment
パトカー,ぱとかー,police car
消防車,しょうぼうしゃ,fire truck
救急車,きゅうきゅうしゃ,ambulance
大統領,だいとうりょう,president
産業,さんぎょう,industry
国内の産業,こくないのさんぎょう,domestic industry
国内,こくない,domestic
発展する,はってんする,"to grow, develop"
工業,こうぎょう,(manufacturing) industry
農業,のうぎょう,agriculture
漁業,ぎょぎょう,fishing industry
生産する,せいさんする,produce
大量生産,たいりょうせいさん,mass production
消費する,しょうひする,to consume
開発する,かいはつする,to develop
管理する,かんりする,to manage
建設する,けんせつする,"to build (road, terminal/station, factory, etc.)"
建築する,けんちくする,"to build, construct, architechture"
原料,げんりょう,raw material
材料,ざいりょう,material
原材料,げんざいりょう,raw material
石油,せきゆ,petroleum
石炭,せきたん,coal
燃料,ねんりょう,fuel
電力を供給する,でんりょくをきょうきゅうする,to supply electricity
電力,でんりょく,electric power
供給する,きょうきゅうする,"to supply, provide"
発電する,はつでんする,to generate electricity
原子力発電所,げんしりょくはつでんしょ,nuclear power plant
科学技術の進歩,かがくぎじゅつのしんぽ,progress of science and technology
科学技術,かがくぎじゅつ,science and technology
進歩,しんぽ,"progess, development"
バイオ技術,ばいおぎじゅつ,biotechnology
プロジェクト,ぷろじぇくと,project
工場,こうじょう,factory
機械,きかい,machine
作業する,さぎょうする,to work
運転する,うんてんする,to run (machine/vehicle)
停止する,ていしする,to stop (machine)
調節する,ちょうせつする,"to regulate, to adjust"
自動,じどう,automatic
部品を組み立てる,ぶひんをくみたてる,to assemble parts
部品,ぶひん,parts
組み立てる,くみたてる,"to assemble, construct, set-up"
エネルギー,えねるぎー,energy
エンジン,えんじん,engine
モーター,もーたー,motor
製品,せいひん,products
品質がいい,ひんしつがいい,to be of good quality
品質,ひんしつ,quality
質,しつ,quality
性能がいい,せいのうがいい,to have a good performance
性能,せいのう,"performance, efficiency"
便利な機能,べんりなきのう,convenient function
便利,べんり,convenient
機能,きのう,function
最新のモデル,さいしんのもでる,latest model
最新,さいしん,"latest, newest"
規模,きぼ,scale
大規模,だいきぼ,large-scale
小規模,しょうきぼ,small-scale
大型,おおがた,large-scale
小型,こがた,small-scale
特許,とっきょ,patent
円高,えんだか,strong yen
円安,えんやす,weaker yen
材料,ざいりょう,materials
道具,どうぐ,utensils
油,あぶら,"oil, grease"
石油,せきゆ,petroleum
石炭,せきたん,coal
鉄,てつ,"iron, steel"
スチール製の棚,すちーるせいのたな,steel rack
～製,～せい,"made of~, made in~"
棚,たな,"shelf, rack"
金メダル,きんめだる,gold medal
銀,ぎん,silver
銅,どう,"copper, bronze(medal)"
ダイヤモンド,だいやもんど,diamond
アルミ缶,あるみかん,aluminum can
金属,きんぞく,metal
輪ゴム,わごむ,rubber band
ビニールの袋,びにーるのふくろ,plastic bag
ビニール,びにーる,vinyl
ナイロンの靴下,ないろんのくつした,nylon socks
ナイロン,ないろん,nylon
靴下,くつした,socks
プラスチックの容器,ぷらすちっくのようき,plastic container
容器,ようき,container
綿のシャツ,めんのシャツ,cotton shirt
綿,めん,cotton
ウールのセーター,うーるのせーたー,wool sweater
ウール,うーる,wool
紐(ひも)で結ぶ,ひもでむすぶ,to tie with a string
紐(ひも),ひも,string
結ぶ,むすぶ,"to tie, bind"
木材,もくざい,"wood, lumber"
ナイフ,ないふ,knife
鋏(はさみ),はさみ,scissors
カッター,かったー,box cutter
セロハンテープ,せろはんてーぷ,cellophane tape
ガムテープ,がむてーぷ,packing tape
インク,いんく,ink
コピー用紙,こぴーようし,copy paper
用紙,ようし,"paper, form"
文房具(文具),ぶんぼうぐ,stationery
針で縫う,はりでぬう,to sew with a needle
針,はり,"needle, pin"
縫う,ぬう,"to sew, to stitch"
布,ぬの,cloth
布巾で拭く(ふきんでふく),ふきんでふく,to wipe with a cloth
布巾(ふきん),ふきん,cloth
箒(ほうき)で掃く,ほうきではく,to sweep with a broom
箒(ほうき),ほうき,broom
掃く,はく,to sweep 
塵取り(ちりとり),ちりとり,dustpan
雑巾(ぞうきん),ぞうきん,rag
スポンジ,すぽんじ,sponge
棒,ぼう,"pole, rod"
板,いた,board
包丁,ほうちょう,kitchen knife
俎板(まないた),まないた,cutting board
入れ物,いれもの,container
ケース,けーす,case
蓋(ふた),ふた,lid
カバー,かばー,cover
段ボール箱,だんぼーるばこ,cardboard box
ベルト,べると,belt
リモコン,れもこん,remote control
ボタン,ぼたん,button
スイッチ,すいっち,switch
電池,でんち,battery
アンテナ,あんてな,antenna
自然,しぜん,nature
人間,にんげん,humans
宇宙,うちゅう,"space, universe"
地球,ちきゅう,earth
太陽,たいよう,sun
波,なみ,wave
陸,りく,land
大陸,たいりく,continent
北極,ほっきょく,North Pole
南極,なんきょく,South Pole
森林,しんりん,forest
砂漠,さばく,desert
谷,たに,valley
気候,きこう,climate
温暖な気候,おんだんなきこう,"warm climate, mild weather"
温暖(な),おんだん,warm
温帯,おんたい,temperate zone
熱帯,ねったい,tropics
熱帯雨林,ねったいうりん,tropical rainforest
部屋の温度,へやのおんど,room temperature
7月の気温,しちがつのきおん,July temperatures
気温,きおん,temperature
湿度(が高い/低い),しつど,humidity
湿気(が多い/少ない),しっけ,moisture
蒸し暑い,むしあつい,muggy
湿る,しめる,to become damp
乾燥する,かんそうする,to become dry
天気予報,てんきよほう,weather forecast
異常気象,いじょうきしょう,abnormal weather
地球温暖化,ちきゅうおんだんか,global warming
自然現象,しぜんげんしょう,natural phenomena
朝日が昇る,あさひがのぼる,(morning) sun rises
朝日,あさひ,morning sun
昇る,のぼる,to rise (sun)
夕日が沈む,ゆうひがしずむ,(evening) sun sets
夕日,ゆうひ,"sunset, setting sun"
沈む,しずむ,"to sink, to feel depressed"
強い日差し,つよいひざし,intense sunshine
日差し,ひざし,sunlight
日に焼ける,ひにやける,to become tanned/sunburned
嵐,あらし,storm
夕立,ゆうだち,evening shower
雷が鳴る,かみなりがなる,to thunder
雷,かみなり,thunder
鳴る,なる,"to ring, to sound, echo, roar (thunder)"
虹,にじ,rainbow
空気,くうき,air
酸素,さんそ,oxygen
二酸化炭素,にさんかたんそ,carbon dioxide
地震,じしん,earthquake
台風,たいふう,typhoon
地震が起きる,じしんがおきる,earthquake occurs
震度,しんど,seismic intensity (on Japanese scale)
揺れる,ゆれる,to shake
雷が落ちる,かみなりがおちなる,lightning strikes
大雨,おおあめ,heavy rain
洪水,こうずい,flood
津波,つなみ,tsunami
火山が噴火する,かざんがふんかする,volcano erupts
停電,ていでん,blackout
被害が出る,ひがいがでる,damage occurs
被害,ひがい,damage
天然,てんねん,natural
人工,じんこう,"artificial, manmade"
生き物,いきもの,living things
動物,どうぶつ,animals
サル(猿),さる,monkey
クマ(熊),くま,bear
トラ(虎),とら,tiger
パンダ,ぱんだ,panda
ヒツジ(羊),ひつじ,sheep
群れ,むれ,"flock, herd"
ヤギ(山羊),やぎ,goat
ヘビ(蛇),へび,snake
ワニ(鰐),わに,"alligator, crocodile"
ペンギン,ペンギン,penguin
イルカ(海豚),いるか,"dolphin, porpoise"
クジラ(鯨),くじら,whale
カメ(亀),かめ,"turtle, tortoise"
サメ(鮫),さめ,shark
マグラ(鮪),まぐら,tuna
サケ(鮭),さけ,salmon
スズメ(雀),すずめ,sparrow
ハト(鳩),はと,"pigeon, dove"
カラス(鴉),からす,crow
ハエ(蝿),はえ,fly
蚊,か,mosquito
アリ(蟻),あり,ant
ハチ(蜂),はち,bee
しっぱ,しっぱ,tail
羽,はね,"feather, wing"
巣,す,nest
植物,しょくぶつ,plants
葉(葉っぱ),は(はっぱ),leaf
根,ね,root
芽が出る,めがでる,bud sprouts
芽,め,"bud, sprout"
花が咲く,はながさく,flower blooms
咲く,さく,to bloom
花が散る,はながちる,petals scatter
散る,ちる,"to scatter, to fall off (leaves of a tree)"
枯れる(草/花/木が),かれる,"to wither (grass, flower, tree, etc.)"
草,くさ,grass
枝が折れる,えだがおれる,branch breaks
枝を折る,えだをおる,to break the branch
枝,えだ,branch
折れる,おれる,"to break, to be broken"
折る,おる,"to break, to fold"
紅葉,こうよう,fall colors
落ち葉,おちば,fallen leaves
芝生を刈る,しばふをかる,to mow the loan
芝生,しばふ,"lawn, grass"
刈る,かる,"to mow(grass), harvest, to cut (hair)"
竹,たけ,bamboo
バラ(薔薇),ばら,rose
農業,のうぎょう,agriculture
田(田んぼ),た(たんぼ),rice paddy
稲を植える,いねをうえる,to plant rice
稲,いね,rice-plant
植える,うえる,"to plant, to grow"
田植え,たうえ,rice planting
稲を刈る,いねをかる,to reap rice
畑を耕す,はたけをたがやす,to plow a field
畑,はたけ,field
耕す,たがやす,"to plow, cultivate"
種をまく,たねをまく,to plant seeds
種,たね,seed
作物を収穫する,さくもつをしゅうかくする,to harvest crops
作物,さくもつ,crops
収穫する,しゅうかくする,to harvest
草が生える,くさがはえる,grass/weeds grow
雑草,ざっそう,weed
実がなる,みがなる,to bear fruit
毛皮,けがわ,fur
農薬,のうやく,agrochemical
体,からだ,body
健康,けんこう,health
身体,しんたい,body
全身,ぜんしん,whole body
頬(ほお/ほほ),ほお/ほほ,cheek
肘(ひじ),ひじ,elbow
手首,てくび,wrist
腰,こし,"lower back, hip"
(お)尻,おしり,"rear, buttocks"
膝(ひざ),ひざ,knee
脳,のう,brain
心臓,しんぞう,heart
胃,い,stomach
血液,けつえき,blood
血,ち,blood
筋肉,きんにく,muscle
骨を折る,ほねをおる,to break a bone
骨,ほね,bone
骨折する,こっせつする,to break a bone
肌,はだ,skin
呼吸する,こっきゅうする,to breathe
息をする,いきをする,to breathe
息を吸う,いきをすう,to inhale
息を吐く,いきをはく,to exhale
消化する,しょうかする,to digest
体重を量る,たいじゅうをはかる,to weigh
体重,たいじゅう,body weight
体温を測る,たいおんをはかる,to measure body temperature
体温,たいおん,body temperature
体調,たいちょう,physical condition
ストレス,すとれす,stress
体がだるい,からだがだるい,to feel listless (sluggish/languid)
熱が出る,ねつがでる,to have a fever
汗をかく,あせをかく,to sweat
咳(をする),せき(をする),to cough
傷が痛い,きずがいたい,wound hurts
痛み,いたみ,pain
頭痛,ずつう,headache
腹痛,ふくつう,stomachache
(目眩)めまい,めまい,dizziness
吐く,はく,to vomit
吐き気がする,はきけがする,to feel nauseous
虫歯,むしば,cavity
診察する,しんさつする,to examine (a patient)
診る,みる,to examine (a patient)
検査する,けんさする,"to examine, to test"
治療する,ちりょうする,"to treat, to give treatment"
手術する,しゅじゅつする,to perform surgery
看病する,かんびょうする,to nurse
予防する,よぼうする,to prevent
うがい(をする),うがい(をする),gargling
マスク(をする),ますく(をする),gauze/surgical mask
風邪(かぜ)のウイルス,かぜのういるす,cold virus
ワクチン,わくちん,vaccine
注射(をする),ちゅうしゃ(をする),"shot, injection"
効く,きく,to be effective
精神,せいしん,"mind, psyche"
精神的なストレス,せいしんてきなすとれす,emotional/mental stress
睡眠,すいみん,sleep
栄養,えいよう,nutrition
ビタミン,びたみん,vitamin
水分,すいぶん,"water, liquids"
休養,きゅうよう,rest
ダイエット,だいえっと,diet
気持ち,きもち,feelings
気持ちを込める,きもちをこめる,putting feeling into it
心を込める,こころをこめる,to put one's self into it
気分がいい,きぶんがいい,to feel good
気分が悪い,きぶんがわるい,to feel bad/sick
プラスの気持ち,ぷらすのきもち,positive feelings
安心する,あんしんする,to feel at ease
ほっとする,ほっとする,to feel relieved
満足する,まんぞくする,to be satisfied
わくわくする,わくわくする,to be excited
感動する,かんどうする,to be moved
幸せ(な),しあわせ(な),happy
笑顔,えがお,smile
マイナスの気持ち,まいなすのきもち,negative feeling
辛い(つらい),つらい,"painful, bitter"
悔しい,くやしい,"vexing, regrettable"
不安,ふあん,anxiety
不満,ふまん,displeasure
腹が立つ,はらがたつ,to become angry
がっかりする,がっかりする,to be disappointed
いらいらする,いらいらする,to be irritated
溜息をつく,ためいきをつく,to sigh
溜息が出る,ためいきがでる,to let out a sigh
仕事で悩む,しごとでなやむ,to be troubled by work
悩む,なやむ,"worry, trouble"
人前で緊張する,ひとまえできんちょうする,to feel nervous in front of others
どきどきする,どきどきする,"heart beats fast, to feel nervous"
落ち着く,おちつく,to calm down
(羨ましい)うらやましい,うらやましい,envious (adj)
懐かしい(なつかしい),なつかしい,"good old, nostalgic"
平気,へいき,"nonchalant, indifferent"
期待する,きたいする,"to expect, to count on"
惜しい,おしい,to be a shame
涙,なみだ,tears
学校,がっこう,school
科目,かもく,subjects
時間割,じかんわり,schedule
数学,すうがく,math
理科,りか,science
観察する,かんさつする,to observe
実験する,じっけんする,to experiment
歴史,れきし,history
地理,ちり,geography
物理(学),ぶつり(がく),physics
化学,かがく,chemistry
文法,ぶんぽう,literature
初級,しょきゅう,elementary
中級,ちゅうきゅう,intermediate
上級,じょうきゅう,advanced
作文,さくぶん,composition
基礎,きそ,fundamentals
知識,ちしき,knowledge
知識を身に付ける,ちしきをみにつける,to acquire knowledge
身に付ける,みにつける,to acquire
得意な科目,とくいなかもく,one's strong subject
苦手な分野,にがてなぶんや,one's weak area
苦手,にがて,weak
分野,ぶんや,"area, field"
学習,がくしゅう,learning
学習する,がくしゅうする,to learn
学ぶ,まなぶ,to learn
暗記する,あんきする,to memorize
自習する,じしゅうする,to study by oneself
試験,しけん,"test, exam"
問題を解く,もんだいをとく,to solve a problem
問題,もんだい,problem
解く,とく,"to solve, to answer"
解答用紙,かいとうようし,answer sheet
正解,せいかい,correct answer
解答,かいとう,one's answer
点,てん,points
点数,てんすう,points
満点を取る,まんてんをとる,to get a perfect score
点が伸びる,てんがのびる,one's score improve
成績を付ける,せいせきをつける,to grade
成績,せいせき,"performance, grade, record"
カンニング(をする),かんにんぐ(をする),cheating
使うもの,つかうもの,things used
電子辞書,でんしじしょ,electronic dictionary
参考書,さんこうしょ,reference book
黒板,こくばん,blackboard
ホワイトボード,ほわいとぼーど,white board
プリント,ぷりんと,handout
学校行事,がっこうぎょうじ,school events
遠足,えんそく,field trip
運動会,うんどうかい,athletic meet/festival
コンクール,こんくーる,contest
コンテスト,こんてすと,contest
同窓会,どうそうかい,class reunion
同級生,どうきゅうせい,classmate
クラスメート,くらすめーと,classmate
塾,じゅく,"cram school, after-school lessons"
受験する,じゅけんする,to take an exam
居眠りする,いねむりする,to doze off
授業をサボる,じゅぎょうをさぼる,to skip class
大学,だいがく,university
受験する,じゅけんする,to take an (entrance) exam
大学を受ける,だいがくをうける,to take a university's entrance exam
入試,にゅうし,entrance exam
入学試験,にゅうがくしけん,entrance exam
大学に進学する,だいがくにしんがくする,to go on to college
大学院に進む,だいがくいんにすすむ,to go on to graduate school
推薦する,すいせんする,to recommend
推薦状,すいせんじょう,letter of recommendation
教授,きょうじゅ,professor
講師,こうし,lecturer
指導する,しどうする,"to guide, to mentor"
指導,しどう,"guidance, coaching (指導者 - leader, 指導力 - leadership)"
アドバイス(をする),あどばいす(をする),advice
授業料,じゅぎょうりょう,tuition
学費,がくひ,tuition
奨学金,しょうがくきん,scholarship
休学する,きゅうがくする,to take a leave of absence from school
国立大学,こくりつだいがく,national university
私立大学,しりつだいがく,private university
私立,しりつ,private
分野,ぶんや,"disciplines (can also mean ""field"" or ""area"" depending on how it is used, but usually means the latter)"
経済学,けいざいがく,economics
文学,ぶんがく,literature
教育学,きょういくがく,pedagogy
医学,いがく,medicine
法律を専攻する,ほうりつをせんこうする,to major in law
専攻する,せんこうする,to major
学部,がくぶ,department
授業,じゅぎょう,classes
専門,せんもん,specialty
専門知識,せんもんちしき,"specialized knowledge, expertise"
前期,ぜんき,first semester
後期,こうき,second semester
学期,がっき,semester
講義,こうぎ,"lecture, lecture course"
休講,きゅうこう,cancellation of lecture/class
提出する,ていしゅつする,to submit
締め切り,しめきり,deadline
期限,きげん,deadline
徹夜する,てつやする,to stay up all night
評価する,ひょうかする,"to evaluate, to grade"
単位を取る,たんいをとる,to earn credits
単位を落とす,たんいをおとす,to fail a course
ゼミ,ぜみ,seminar
研究,けんきゅう,research
研究する,けんきゅうする,to research
調査する,ちょうさする,to investigate
発表する,はっぴょうする,to present
報告する,ほうこくする,to report
論文,ろんぶん,"paper, thesis"
下書きする,したがきする,to write a draft
資料,しりょう,"(information) resources, materials"
参考にする,さんこうにする,to refer to
引用する,いんようする,"to cite, to quote"
文章,ぶんしょう,text
テーマ,てーま,"theme, topic"
仕事,しごと,work
職業,しょくぎょう,occupation
教師,きょうし,"teacher, instructor"
医師,いし,doctor
看護し,かんごし,nurse
エンジニア,えんじにあ,engineer
通訳,つうやく,interpreter
運転者,うんてんしゃ,driver
俳優,はいゆう,actor
女優,じょゆう,actress
スポーツ選手,すぽーつせんしゅ,"athlete, sports player"
作家,さっか,"author, writer"
公務員,こうむいん,civil servant
OL,OL,female office worker
正社員,せいしゃいん,permanent/full-time employee
パート,ぱーと,part-time worker
アルバイト(バイト),あるばいと(ばいと),part-time job
フリーター,ふりーたー,job-hopping part-time worker
主婦,しゅふ,homemaker
仕事の種類,しごとのしゅるい,types of work
事務,じむ,clerical work
営業,えいぎょう,"sales, business"
翻訳,ほんやく,translation
就職,しゅうしょく,finding a job
退職,たいしょく,leaving a job
仕事を探す,しごとをさがす,to search for a job
就職する,しゅうしょくする,to get a job
入社する,にゅうしゃする,to join a company
退職する,たいしょくする,"to retire, to resign"
雇う,やとう,to employ
会社を辞める,かいしゃをやめる,to leave a company
募集する,ぼしゅうする,to recruit
応募する,おうぼする,to apply
面接,めんせつ,interview
履歴書,りれきしょ,resume
資格,しかく,qualifications
給料,きゅうりょう,salary
時給,じきゅう,hourly wages
ボーナス,ぼーなす,bonus
交通費,こうつうひ,traveling expenses
仕事をする,しごとをする,working
打ち合わせ,うちあわせ,meeting
ミーティング,みーてぃんぐ,meeting
休憩する,きゅうけいする,to take a break
勤務する,きんむする,to work
勤める,つとめる,to work
通勤する,つうきんする,to commute
担当する,たんとうする,"to handle, to be in charge of"
残業する,ざんぎょうする,to work overtime
経営する,けいえいする,to manage (a business)
稼ぐ(かせぐ),かせぐ,to earn (money)
職場,しょくば,workplace
上司,じょうし,boss
部下,ぶか,subordinate
責任,せきにん,responsibility
ビジネス,びじねす,business
名刺,めいし,calling card
オフィス,おふぃす,office
スタッフ,すたっふ,staff
パソコン,ぱそこん,computer
ネット,ねっと,internet
ノートパソコン,のーとぱそこん,laptop computer
画面,がめん,screen
キーボード,きーぼーど,keyboard
キーを打つ,きーをうつ,to press a key
マウス,まうす,mouse
プリンター,ぷりんたー,printer
ケーブル,けーぶる,cable
ファイル,ふぁいる,file
フォルダ,ふぉるだ,folder
印刷する,いんさつする,to print
プリントする,ぷりんとする,to print
パスワード,ぱすわーど,password
インタネット,いんたねっと,internet
メール,めーる,e-mail
ネットに繋ぐ(つなぐ),ねっとにつなぐ,to connect/be connected to the internet
ネットに繋がる(つながる),ねっとにつながる,to connect/be connected to the internet
ホームページにアクセスする,ほーむぺーじにあくせすする,to access a website/homepage
(ウェブ)サイト,(うぇぶ)さいと,website
検索する,けんさくする,to search
クリックする,くりっくする,to click
ソフト(ウェア),そふとうぇあ,software
ダウンロードする,だうんろーどする,to download
ブログを書く,ぶろぐをかく,to write/keep a blog
メールアドレス,めーるあどれす,e-mail address
写真を添付する,しゃしんをてんぷする,to attach photos
ウイルス,ういるす,virus
データ,でーた,data
保存する,ほぞんする,to save
削除する,さくじょする,to delete
入力する,にゅうりょくする,to enter
メールの表現,めーるのひょうげん,e-mail expressions
メールを受信する,めーるをじゅしんする,to receive e-mail
メールを送信する,めーるをそうしんする,to send e-mail
メールを返信する,めーるをへんしんする,to reply to e-mail
メールを転送する,めーるをてんそうする,to forward e-mail
相手との関係,あいてとのかんけい,relations with others
相手,あいて,counterpart
関係,かんけい,"relationship, relation, connection"
電話の相手,でんわのあいて,other person in a phone conversation
自分の部屋,じぶんのへや,one's (own) room
自分でやる,じぶんでやる,to do on one's room
上司,じょうし,boss
部下,ぶか,subordinate
先輩,せんぱい,senior
後輩,こうはい,junior
新人,しんじん,"newcomer, rookie"
目上の人,めうえのひと,superior
年上,としうえ,older
年下,としした,younger
同い年,おないどし,same age
私の彼,わたしのかれ,my boyfriend
僕の彼女,ぼくのかのじょ,my girlfriend
仲,なか,relationship
仲がいい,なかがいい,to get along with
仲が悪い,なかがわるい,not get along with
仲良し,なかよし,friend
親友,しんゆう,close friend
仲間,なかま,"buddy, colleague, comrade"
ライバル,らいばる,rival
～同士,～どうし,fellow ~
女同士,おんなどうし,fellow women
仲間同士,なかまどうし,fellow comrades
一緒に,いっしょに,together
別々に,べつべつに,separately
グループ,ぐるーぷ,groups
集まり,あつまり,"group, gathering"
集団,しゅうだん,"group, mass"
団体,だんたい,"organization, association, group"
個人,こじん,individual
メンバー,めんばー,member
会員,かいいん,member
入会する,にゅうかいする,to join a group/association
リーダー,りーだー,leader
女性,じょせい,women
婦人向けの雑誌,ふじんむけのざっし,magazine for women
婦人向け,ふじんむけ,for women
社長のお嬢さん,しゃちょうのおじょうさん,the president's daughter
社長,しゃちょう,president
お嬢さん,おじょうさん,daughter (superior/polite)
男性,だんせい,men
紳士用の服,しんしようのふく,clothes for men
紳士用,しんしよう,for men
交流する,こうりゅうする,to interact
外見,がいけん,appearance
見た目,みため,appearance
かっこいい,かっこいい,cool (from 格好がいい)
美人,びじん,beautiful woman
スタイルがいい,すたいるがいい,nicely figured
スマート(な),すまーと(な),slim
幼い,おさない,"young, childlike"
お洒落(な)(おしゃれ),おしゃれ(な),stylish
性格,せいかく,personality
陽気(な),ようき(な),cheerful
明るい,あかるい,cheerful
真面目(な),まじま(な),serious
不真面目(な),ふまじめ(な),"frivolous, lazy"
正直(な),しょうじき(な),honest
素直(な),すなお(な),"docile, meek"
純粋(な),じゅんすい(な),pure
乱暴(な),らんぼう(な),violent
優しい,やさしい,"kind, gentle"
落ち着いた,おちついた,calm
大人しい,おとなしい,"quiet, well-behaved"
おもしろい(面白い),おもしろい,"interesting, funny"
のんき(暢気/呑気)(な),のんき(な),"easygoing, laid-back"
けち(な),けち(な),stingy
わがまま(我が儘),わがまま,selfish
能力,のうりょく,ability
賢い,かしこい,"clever, wise"
利口(な),りこう(な),smart
器用(な),きよう(な),dexterous
行動,こうどう,behavior
態度,たいど,attitude
熱心な活動,ねっしんなかつどう,zealous activity
熱心,ねっしん,"enthusiasm, zeal"
真剣な態度,しんけんなたいど,serious attitude
真剣,しんけん,"serious, earnest"
冷たい反応,つめたいはんのう,cold reaction
反応,はんのう,"reaction, response"
慎重な行動,しんちょうなこうどう,cautious action
慎重,しんちょう,"cautious, discretion, prudence"
不親切な対応,ふしんせつなたいおう,unfriendly response/treatment
不親切,ふしんせつ,unkind
対応,たいおう,"response, support, interaction"
礼儀正しい,れいぎただしい,courteous
失礼(な),しつれい(な),rude
行儀がいい,ぎょうぎがいい,"well-behaved, well-mannered"
行儀,ぎょうぎ,manners
きちんとした服,きちんとしたふく,proper attire
勝手(な),かって(な),"headstrong, self-serving, selfishness, smb.'s own way"
積極的(な),せっきょくてき(な),"active, outgoing"
消極的(な),しょうきょくてき(な),passive
印象,いんしょう,impression
評価,ひょうか,appraisal
厳しい,きびしい,"stern, demanding"
怖い,こわい,scary
甘い(人が),あまい,gentle
偉い,えらい,"great, admirable"
平凡(な),へいぼん(な),ordinary
(馬鹿)ばかな発言,ばかなはつげん,stupid remark
(馬鹿)ばか,ばか,"stupid, fool"
発言,はつげん,"remark, speech, proposal"
タイプ,たいぷ,type
天才,てんさい,genius
子供っぽい,こどもっぽい,childish
飽きっぽい,あきっぽい,easily bored
～っぽい,～っぽい,~ ish (ex. child-ish)
ユーモアのある,ゆーもあのある,"humorous, funny"
勇気のある,ゆうきのある,brave
魅力のある,みりょくのある,charming
様子,ようす,appearance
状態,じょうたい,"state, condition"
基本的な知識,きほんてきなちしき,basic knowledge
基本的(な),きほんてき(な),basic
重要な資料,じゅうようなしりょう,important data/materials
重要,じゅうよう,important
正確な情報,せいかくなじょうほう,accurate information
